Altium Designer Pick and Place Locations
Z:\HoverGate-V2\Project Outputs for HoverGate-V2\Pick Place\Pick Place for HoverGate-V2-pcb.csv

========================================================================================================================
File Design Information:

Date:       25/03/24
Time:       12:44
Revision:   6ec4b2ca72cf584d5e9f6024e07bab619c29fcd8
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"D14","B1100-13-F","TopLayer","DIOD-SMA-2_V","-5.2000","-36.9750","270","Schottky Barrier Rectifier, 100 V, 1 A, -65 to 150 degC, 2-Pin SMA, RoHS, Tape and Reel"
"U3","SLM27517","TopLayer","Diodes_Inc_SOT25","7.1000","-25.6000","90","mosfet gate driver"
"R40","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","2.3000","-36.9750","0","RES SMD 47K OHM 1% 1/10W 0603"
"R39","0603WAF0000T5E","TopLayer","FPR_0603_R_R0","4.7000","-24.3000","90","0R resistor"
"R38","RC0603FR-0747KL","TopLayer","FP-RC0603FR-0747KL-MFG","14.0000","-11.9000","180","RES SMD 47K OHM 1% 1/10W 0603"
"Q10","AO3401A","TopLayer","AO-SOT-23-3L_V","2.3000","-34.4750","90","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel"
"Q9","AO3401A","TopLayer","AO-SOT-23-3L_V","14.0000","-9.5000","90","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel"
"J7","SolderJumperV2","TopLayer","AislerRule_SolderJumper_1mm","-26.2850","-42.2000","180",""
"C42","0603B151K500NT","TopLayer","FP-AC0603-IPC_B","5.6406","-31.0837","180","CAP CER 150p 50V X7R 0603"
"C41","0603B151K500NT","TopLayer","FP-AC0603-IPC_B","5.6301","-33.2757","180","CAP CER 150p 50V X7R 0603"
"C40","0603B151K500NT","TopLayer","FP-AC0603-IPC_B","5.6707","-35.4678","180","CAP CER 150p 50V X7R 0603"
"C39","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-11.6000","-13.0000","180","CAP CER 10UF 50V X5R 1206"
"C37","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-11.6000","-15.0000","180","CAP CER 10UF 50V X5R 1206"
"C36","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-11.6000","-17.0000","180","CAP CER 10UF 50V X5R 1206"
"C35","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-11.6000","-19.0000","180","CAP CER 10UF 50V X5R 1206"
"C34","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-11.6000","-21.0000","180","CAP CER 10UF 50V X5R 1206"
"C33","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-11.6000","-23.0000","180","CAP CER 10UF 50V X5R 1206"
"C17","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-21.8000","-12.8000","180","CAP CER 10UF 50V X5R 1206"
"C16","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-21.8000","-15.0000","180","CAP CER 10UF 50V X5R 1206"
"C15","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-21.8000","-17.0000","180","CAP CER 10UF 50V X5R 1206"
"C14","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-21.8000","-19.0000","180","CAP CER 10UF 50V X5R 1206"
"C11","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-21.8000","-21.0000","180","CAP CER 10UF 50V X5R 1206"
"C10","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-21.8000","-23.0000","180","CAP CER 10UF 50V X5R 1206"
"C9","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-32.0000","-13.0000","180","CAP CER 10UF 50V X5R 1206"
"C8","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-32.0000","-15.0000","180","CAP CER 10UF 50V X5R 1206"
"C5","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-32.0000","-17.0000","180","CAP CER 10UF 50V X5R 1206"
"C4","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-32.0000","-19.0000","180","CAP CER 10UF 50V X5R 1206"
"C3","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-32.0000","-21.0000","180","CAP CER 10UF 50V X5R 1206"
"C2","CL31A106KBHNNNE","TopLayer","FP-CL31-IPC_C","-32.0000","-23.0000","180","CAP CER 10UF 50V X5R 1206"
"J6","SolderJumperV2","BottomLayer","AislerRule_SolderJumper_1mm","24.3750","-21.7000","180",""
